id,hour_of_a_day,category,keyword,search_steps,filters_count,results,ad_views
3b331ad6eaefc75e577fd18797c6305e,12,motoryzacja,,24,2,241,0
bd44758975755f7568478319aad1010f,14,rolnictwo,,1,0,0,0
cfbd59936d52aa111f131d9496319eda,11,rolnictwo,Wozy,30,1,23,0
afcc89bd3f01e8e251fd5ee566494a1a,9,rolnictwo,Mini ładowarka,79,0,45,6
9d95ab0b6465c41c0487a9a57812590c,10,motoryzacja,,25,3,32,0
f24eba28bcff4ca281a3668e18c9267b,13,motoryzacja,przyczepy kempingowe.,6,0,7,0
3fd06571876581c6d29a1a45838184a0,15,rolnictwo,aerator,1,0,1,0
b538e8f877cdfe489a0f9d60b1dd8a79,20,rolnictwo,,100,1,164,7
66686100c5b804393e04dbfcd518a991,13,motoryzacja,cf moto 500 2014,2,0,3,0
b724502c3678d116ec630df4856ac512,10,praca,,67,0,442,10
